GrassTile01 -99009a
Flowers02 -132c16
BookCaseBack01 -a698ae
StoneBrickPathLU -726864
StoneBrickPathRD -726867
StoneBrickPathUL -726868
StoneBrickPathRU -726865
StoneBrickPathLD -726866
StoneBrickPathDL -72686b
StoneBrickPathD -72686c
StoneBrickPathUR -726869
StoneBrickPathDR -72686a
StoneBrickPathC -72686f
StoneBrickPathU -726870
StoneBrickPathR -72686d
StoneBrickPathL -72686e
Mailbox08 -b4dc99
TallGrass01 -8c44b5
Mailbox09 -e2e8a6
Mailbox06 -9de900
MapleMachine2 -83c0e8
MapleMachine1 -83c0e7
PC -f4a065
ElectricMachine -1930d9
WaterTile01 -cccc01
CounterOrangeD -1f7900
CounterOrangeDLE -1f78ff
RedRugT -26acc8
CounterOrangeDM -1f78fe
CounterOrangeDRE -1f78fd
CounterOrangeL -1f78fc
CounterOrangeLD -1f78fb
CounterOrangeLDE -1f78fa
CounterOrangeLM -1f78f9
CounterOrangeLU -1f78f8
WallRed -7a8c94
CounterOrangeLUE -1f78f7
CounterOrangeR -1f78f6
CounterOrangeRD -1f78f5
CounterOrangeRDE -1f78f4
CounterOrangeRM -1f78f3
CounterOrangeRU -1f78f2
Tree07 -21a4cf
CounterOrangeRUE -1f78f1
LedgeRD -69849a
LedgeLUEnd -698499
LedgeDR -69849c
LedgeR -69849b
LedgeLD -69849e
LedgeD -69849d
LedgeDL -6984a0
LedgeL -69849f
LedgeRUEnd -698494
LedgeDREnd -698496
LedgeRDEnd -698495
LedgeLDEnd -698498
LedgeDLEnd -698497
MagnemiteInductorBuilding -100
GrassTile02 -a215a3
GrassTile03 -b529b6
GrassTile04 -c83dc9
PokemonStatue -574942
TallFlowerGrass02 -e479df
TallFlowerGrass01 -e479e0
Flowers04 -716532
Flowers14 -716531
Flowers12 -716534
Flowers13 -716533
Flowers10 -716536
Flowers11 -716535
Flowers0d -716538
Flowers0e -716537
Flowers0b -71653a
Flowers0c -716539
Flowers09 -71653c
Flowers0a -71653b
Flowers07 -71653e
Flowers08 -71653d
Flowers05 -716540
Flowers06 -71653f
Flowers15 -716530
Mailbox03 -6b91fe
BedRight.png -999901
RedRugR -25a5c0
GrassPathU -6f2190
RedRugB -30b5d1
GrassPathUL -6f218f
GrassPathL -6f218e
GrassPathUR -6f218d
GrassPathC -6f218c
GrassPathR -6f218b
GrassPathDL -6f218a
GrassPathD -6f2189
GrassPathDR -6f2188
GrassPathLU -6f2187
GrassPathRU -6f2186
GrassPathLD -6f2185
GrassPathRD -6f2184
ConcreteRD -948565
ConcreteLD -948566
ConcreteRU -948567
ConcreteLU -948568
ConcreteC -948564
ConcreteR -94856d
RedRugBR -32b1cb
ConcreteUR -94856e
ConcreteU -94856f
ConcreteUL -948570
ConcreteL -948569
ConcreteDL -94856a
RedRugTR -3eadc4
ConcreteD -94856b
ConcreteDR -94856c
CounterGreenRD -e436e5
CounterGreenR -e436e6
CounterGreenLUE -e436e7
CounterGreenLU -e436e8
CounterGreenRUE -e436e1
CounterGreenRU -e436e2
